提前抢5月特价房 海大员工长租福利加码 家电齐全 押一付一,万科欧泊,1950 元/月,https://gz.zu.anjuke.com/fangyuan/1518105600
3号线永泰站，品牌公寓直租免中介配置齐全地铁直达林和西体育西,天平架大院,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1547732478
女生优先  临地铁 沙园 昌岗中路114号大院 交通方便 阳,昌岗中路114号大院,800 元/月,https://gz.zu.anjuke.com/fangyuan/1529192293
停车便宜押一付一 免中介fei南村万博地铁民用水电品牌公寓,招商城市主场(商住楼),2240 元/月,https://gz.zu.anjuke.com/fangyuan/1526534107
燕塘地铁口，漂亮一房一厅，温馨舒适，仅租2350元，先到先得,侨源新邨,2350 元/月,https://gz.zu.anjuke.com/fangyuan/1547880151
拒绝城中村！民用水电 押一付一 家具家电齐全 带车位,奥园城市天地,2100 元/月,https://gz.zu.anjuke.com/fangyuan/1523209985
三号线永泰地铁站 开年火爆房源 高端社区 对外招租 拎包入住,广东红盾大厦,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548176826
家电齐全 民用水电 近7号线万达广场 员工租房专享额外优惠,广州雅居乐花园一尺山居,2278 元/月,https://gz.zu.anjuke.com/fangyuan/1525839995
南北向 体育西路 天鑫六运小区 交通方便 南北通透,天鑫六运小区,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1528265155
新市百信广场租草莓社区 实拍精致loft 家电齐 白领拎包住,百信领寓,1890 元/月,https://gz.zu.anjuke.com/fangyuan/1535483270
首月5折房源，小区精装修，押一付一，无，近地铁,天诚广场,1100 元/月,https://gz.zu.anjuke.com/fangyuan/1542663758
魔方公寓江泰店  租期灵活 精致装修一居室,得胜岗大院,2400 元/月,https://gz.zu.anjuke.com/fangyuan/1547179112
冠寓市桥店 高层电梯房 朝南大阳台 房东直租 押一付一,禺山大道188号住宅楼,1560 元/月,https://gz.zu.anjuke.com/fangyuan/1526634101
冠寓市桥南店 可短租 直租 公司员工折上折 押一付一拎包入住,市桥汀沙村,1690 元/月,https://gz.zu.anjuke.com/fangyuan/1532985363
冠寓乐飞店 年租95折 有停车位 年租送四件套 拎包入住,新福港鼎峰,2150 元/月,https://gz.zu.anjuke.com/fangyuan/1539410734
华海达公寓 近华师 可养宠物 疫情期间 价格可商量 新装修,华海达公寓,3800 元/月,https://gz.zu.anjuke.com/fangyuan/1539857359
黄沙地铁站，和平西路二房一厅带阳台,和平西路小区,2300 元/月,https://gz.zu.anjuke.com/fangyuan/1545873140
急速维修 东圃 珠村南便大街三巷二号小区 家电全新 口碑好,珠村南便大街三巷二号小区,1210 元/月,https://gz.zu.anjuke.com/fangyuan/1523926120
3号线永泰 直租免中介 园区管理 拎包入住 停车方便 可短租,臻品云山,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548177034
全新精装修电梯公寓 二至六楼房间任你挑选 先到先得哦,上胜创意园,1180 元/月,https://gz.zu.anjuke.com/fangyuan/1541007216
超高绿化 公园旁 龙怡路 太阳广场 品质合租 隔音好,太阳广场,1540 元/月,https://gz.zu.anjuke.com/fangyuan/1519810444
3号线永泰站，品牌公寓直租免中介配置齐全地铁直达林和西体育西,金兰阁,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1547732490
急 南村万博站旁 招商城市主场 大开间 年付申请免物业费,招商城市主场(商住楼),2089 元/月,https://gz.zu.anjuke.com/fangyuan/1546920868
民用水电奥园员工专属折扣 押一付一 家具家电齐全 停车便利,奥园城市天地,2268 元/月,https://gz.zu.anjuke.com/fangyuan/1525136877
魔方公寓 短租月付首月半价 拎包入住8折起优惠！采光通风好,梓元岗小区,1700 元/月,https://gz.zu.anjuke.com/fangyuan/1547502534
永泰地铁站精装电梯一房 三号线直达体育西东站 林和西珠江新城,磨溪小区,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548177031
押一付一近万达民用水电 免中jie费 独栋公寓 网红直播房,番禺万达广场,1950 元/月,https://gz.zu.anjuke.com/fangyuan/1525900639
民用水电近7号线YY员工专属折扣 押一付一 家具家电齐全,招商城市主场(商住楼),2268 元/月,https://gz.zu.anjuke.com/fangyuan/1525800445
月底5折房源，公寓精装修，押一付一，无，家具齐全,珠江西苑,1300 元/月,https://gz.zu.anjuke.com/fangyuan/1542666830
三号线  花园小区无仲介 随时看随时租  实拍实价 拎包入住,穗和家园,2200 元/月,https://gz.zu.anjuke.com/fangyuan/1514470291
奥园员工折上折免中Jie费 带车位 家电齐全 押一付一,奥园国际中心,2150 元/月,https://gz.zu.anjuke.com/fangyuan/1517168108
碧家国际社区 三号线穗和家园小区一房一厅 家电齐全 拎包入住,穗和家园,2300 元/月,https://gz.zu.anjuke.com/fangyuan/1548117678
奥园员工折上折押一付一拎包入住 长租福利加码 家电齐全,奥园国际中心,2150 元/月,https://gz.zu.anjuke.com/fangyuan/1517577995
燕塘地铁口，漂亮一房一厅，温馨舒适，仅租2350元，先到先得,侨源新邨,2350 元/月,https://gz.zu.anjuke.com/fangyuan/1547880151
0中介 400m到火车站地铁双线 交通方便 可短租 押一付一,环市西路小区,2300 元/月,https://gz.zu.anjuke.com/fangyuan/1516952386
房间实图 实际价格 酒店式公寓,东豪苑,1200 元/月,https://gz.zu.anjuke.com/fangyuan/1523699222
3号线永泰站，品牌公寓直租免中介配置齐全地铁直达林和西体育西,金碧雅苑,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548176847
魔方公寓 精装一居室  独立厨卫 毕业季优惠 押一付一0中介,远景路大院,2000 元/月,https://gz.zu.anjuke.com/fangyuan/1547158017
3号线永泰站，品牌公寓直租免中介配置齐全地铁直达林和西体育西,金兰阁,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548177026
长隆商圈 地铁三七号线汉溪站 奥园城市天地 复式一房出租,奥园城市天地,2666 元/月,https://gz.zu.anjuke.com/fangyuan/1546890232
3号线永泰 直租免中介 园区管理 拎包入住 停车方便 可短租,天平架大院,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548177054
新年特惠公寓专人维修小区房源,广信顺景大厦,1860 元/月,https://gz.zu.anjuke.com/fangyuan/1525059043
魔方公寓江泰店  租期灵活 精致装修一居室,得胜岗大院,2400 元/月,https://gz.zu.anjuke.com/fangyuan/1547179112
冠寓乐飞 阳光大阳台房  年租95折  配套齐全 拎包入住,乐飞家园,2150 元/月,https://gz.zu.anjuke.com/fangyuan/1539413850
三号线永泰地铁站 开年火爆房源 高端社区 对外招租 拎包入住,广东红盾大厦,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548176826
冠寓乐飞店 年租95折 有停车位 年租送四件套 拎包入住,新福港鼎峰,2150 元/月,https://gz.zu.anjuke.com/fangyuan/1539410734
永泰地铁站精装电梯一房 三号线直达体育西东站 林和西珠江新城,磨溪小区,1500 元/月,https://gz.zu.anjuke.com/fangyuan/1548177031
南向 漂亮采光好  业主诚意出租  有钥匙随时欢迎看房,双城国际公寓,3500 元/月,https://gz.zu.anjuke.com/fangyuan/1541559373
冠寓市桥南店 可短租 直租 公司员工折上折 押一付一拎包入住,市桥汀沙村,1690 元/月,https://gz.zu.anjuke.com/fangyuan/1532985363
品牌公寓直租  家具家电齐全 优惠一房一厅,官洲北苑,1150 元/月,https://gz.zu.anjuke.com/fangyuan/1531479555
无中介fei押一付一 海大员工走路上下班 家电齐全拎包入住,敏捷海大大厦,1950 元/月,https://gz.zu.anjuke.com/fangyuan/1525210973
南北通透 采光好 同和 倚山翠庭 干净简洁 口碑好,倚山翠庭,800 元/月,https://gz.zu.anjuke.com/fangyuan/1542656621
奥园员工专属折扣民用水电 押一付一 家具家电齐全 近7号线,万科欧泊,2265 元/月,https://gz.zu.anjuke.com/fangyuan/1521514357
碧家国际社区 三号线穗和家园小区一房一厅 家电齐全 拎包入住,穗和家园,2300 元/月,https://gz.zu.anjuke.com/fangyuan/1548117678
